scheme,size,rep,pi,gen_ms
VESTA-256,10000,7,mem,56.2348
VESTA-256,10000,7,nonmem,56.4196
VESTA-2048,10000,7,mem,1394.9806
VESTA-2048,10000,7,nonmem,1402.903
MHT,10000,7,mem,0.0072
MHT,10000,7,nonmem,0.0079
VESTA-256,10000,8,mem,56.1887
VESTA-256,10000,8,nonmem,55.2902
VESTA-2048,10000,8,mem,1391.0439
VESTA-2048,10000,8,nonmem,1392.9131
MHT,10000,8,mem,0.0075
MHT,10000,8,nonmem,0.008
VESTA-256,10000,9,mem,52.878
VESTA-256,10000,9,nonmem,56.5101
VESTA-2048,10000,9,mem,1386.6196
VESTA-2048,10000,9,nonmem,1378.9967
MHT,10000,9,mem,0.0086
MHT,10000,9,nonmem,0.0076
SMT,500,0,mem,0.0782
SMT,500,0,nonmem,0.0762
SMT,500,1,mem,0.0787
SMT,500,1,nonmem,0.0651
SMT,500,2,mem,0.0891
SMT,500,2,nonmem,0.1012
SMT,500,3,mem,0.1224
SMT,500,3,nonmem,0.0786
SMT,500,4,mem,0.0756
SMT,500,4,nonmem,0.0662
SMT,500,5,mem,0.079
SMT,500,5,nonmem,0.066
SMT,500,6,mem,0.0653
SMT,500,6,nonmem,0.0578
SMT,500,7,mem,0.0647
SMT,500,7,nonmem,0.0693
SMT,500,8,mem,0.0687
SMT,500,8,nonmem,0.0615
SMT,500,9,mem,0.0579
SMT,500,9,nonmem,0.0628
SMT,1000,0,mem,0.0736
SMT,1000,0,nonmem,0.067
SMT,1000,1,mem,0.0772
SMT,1000,1,nonmem,0.0669
SMT,1000,2,mem,0.0947
SMT,1000,2,nonmem,0.0659
SMT,1000,3,mem,0.0769
SMT,1000,3,nonmem,0.0654
SMT,1000,4,mem,0.08
SMT,1000,4,nonmem,0.0682
SMT,1000,5,mem,0.0854
SMT,1000,5,nonmem,0.0651
SMT,1000,6,mem,0.0941
SMT,1000,6,nonmem,0.0673
SMT,1000,7,mem,0.0863
SMT,1000,7,nonmem,0.0762
SMT,1000,8,mem,0.078
SMT,1000,8,nonmem,0.0796
SMT,1000,9,mem,0.0811
SMT,1000,9,nonmem,0.0721
SMT,2000,0,mem,0.0847
SMT,2000,0,nonmem,0.0743
SMT,2000,1,mem,0.1143
SMT,2000,1,nonmem,0.0793
SMT,2000,2,mem,0.1074
SMT,2000,2,nonmem,0.0749
SMT,2000,3,mem,0.1132
SMT,2000,3,nonmem,0.0748
SMT,2000,4,mem,0.1117
SMT,2000,4,nonmem,0.08
SMT,2000,5,mem,0.1069
SMT,2000,5,nonmem,0.08
SMT,2000,6,mem,0.1118
SMT,2000,6,nonmem,0.0786
SMT,2000,7,mem,0.1089
SMT,2000,7,nonmem,0.0791
SMT,2000,8,mem,0.1161
SMT,2000,8,nonmem,0.0784
SMT,2000,9,mem,0.1003
SMT,2000,9,nonmem,0.0714
SMT,5000,0,mem,0.1121
SMT,5000,0,nonmem,0.0882
SMT,5000,1,mem,0.1787
SMT,5000,1,nonmem,0.097
SMT,5000,2,mem,0.1993
SMT,5000,2,nonmem,0.0885
SMT,5000,3,mem,0.19
SMT,5000,3,nonmem,0.0888
SMT,5000,4,mem,0.1819
SMT,5000,4,nonmem,0.0884
SMT,5000,5,mem,0.1819
SMT,5000,5,nonmem,0.0888
SMT,5000,6,mem,0.1806
SMT,5000,6,nonmem,0.0918
SMT,5000,7,mem,0.2069
SMT,5000,7,nonmem,0.0818
SMT,5000,8,mem,0.2549
SMT,5000,8,nonmem,0.0913
SMT,5000,9,mem,0.1832
SMT,5000,9,nonmem,0.0864
SMT,10000,0,mem,0.1948
SMT,10000,0,nonmem,0.0957
SMT,10000,1,mem,0.3099
SMT,10000,1,nonmem,0.1022
SMT,10000,2,mem,0.4717
SMT,10000,2,nonmem,0.1471
SMT,10000,3,mem,0.3768
SMT,10000,3,nonmem,0.1386
SMT,10000,4,mem,0.3441
SMT,10000,4,nonmem,0.0966
SMT,10000,5,mem,0.316
SMT,10000,5,nonmem,0.0974
SMT,10000,6,mem,0.2889
SMT,10000,6,nonmem,0.1026
SMT,10000,7,mem,0.3267
SMT,10000,7,nonmem,0.116
SMT,10000,8,mem,0.3164
SMT,10000,8,nonmem,0.1033
SMT,10000,9,mem,0.3
SMT,10000,9,nonmem,0.0978
